month,revenue,MoM,YoY,rolling_3m,revenue_last_year,month_num
2016-09,354.75,,,,,9
2016-10,58730.85,16455.56025369979,,,,10
2016-12,19.62,-99.96659336617807,,19701.74,,12
2017-01,148030.11,754385.7798165136,,68926.86,,1
2017-02,303648.31,105.12604496477103,,150566.01333333334,,2
2017-03,459778.64,51.41814555134525,,303819.02,,3
2017-04,449707.81,-2.190364911253817,,404378.25333333336,,4
2017-05,634762.22,41.14992132335882,,514749.55666666664,,5
2017-06,531052.06,-16.33842669464479,,538507.3633333334,,6
2017-07,631341.57,18.885061852504602,,599051.9500000001,,7
2017-08,706168.95,11.852123090833388,,622854.1933333334,,8
2017-09,767325.7,8.660356703590555,,701612.0733333332,,9
2017-10,808911.33,5.4195539130254655,227922.92600422833,760801.9933333333,354.75,10
2017-11,1232074.3,52.31265211725989,1997.8315484962334,936103.7766666667,58730.85,11
2017-12,898427.92,-27.080053532485827,4579043.323139654,979804.5166666667,19.62,12
2018-01,1158742.84,28.97449135374155,682.7750989308865,1096415.02,148030.11,1
2018-02,1039011.65,-10.332852628457234,242.1760028896588,1032060.8033333333,303648.31,2
2018-03,1209080.3,16.368310210958658,162.97008925860496,1135611.5966666667,459778.64,3
2018-04,1201102.21,-0.6598478198677205,167.08502349558927,1149731.3866666665,449707.81,4
2018-05,1193204.98,-0.6574985820732127,87.97668519087352,1201129.1633333333,634762.22,5
2018-06,1075753.44,-9.843366560538492,102.57024141851552,1156686.8766666665,531052.06,6
2018-07,1097939.54,2.0623777879808625,73.90578922278159,1122299.3199999998,631341.57,7
2018-08,1038395.74,-5.423231228196778,47.04636050622164,1070696.24,706168.95,8
2018-09,166.46,-99.98396950280247,-99.97830647403052,712167.2466666666,767325.7,9
2018-10,0.0,-100.0,-100.0,346187.39999999985,808911.33,10
